ID,AREA,DATA,DISTRICT,CTYSOSID,FIPS,FIPS2,CTYNAME,CNTY,COUNTY,PRECINCT_I,PRECINCT_N
1,6.931697,1485,121SC07A,121SC07A,13121,121,Fulton,60,FULTON,SC07A,SC07A
2,9.731091,1480,121SC04,121SC04,13121,121,Fulton,60,FULTON,SC04,SC04
3,1.139167,2832,121SC13A,121SC13A,13121,121,Fulton,60,FULTON,SC13A,SC13A
4,6.074083,1503,121SC13,121SC13,13121,121,Fulton,60,FULTON,SC13,SC13
5,7.147321,1028,097785,097785,13097,097,Douglas,48,DOUGLAS,785,BOUNDARY WATERS
6,0.435417,1481,121SC05A,121SC05A,13121,121,Fulton,60,FULTON,SC05A,SC05A
7,2.924765,1483,121SC05D,121SC05D,13121,121,Fulton,60,FULTON,SC05D,SC05D
8,3.323633,1506,121SC15A,121SC15A,13121,121,Fulton,60,FULTON,SC15A,SC15A
9,4.256025,1505,121SC15,121SC15,13121,121,Fulton,60,FULTON,SC15,SC15
10,3.420625,1407,121FA01A,121FA01A,13121,121,Fulton,60,FULTON,FA01A,FA01A
11,2.830392,3062,121SC07E,121SC07E,13121,121,Fulton,60,FULTON,SC07E,SC07E
12,5.219864,2846,121UC02E,121UC02E,13121,121,Fulton,60,FULTON,UC02E,UC02E
13,0.742038,1488,121SC07D,121SC07D,13121,121,Fulton,60,FULTON,SC07D,SC07D
14,3.831527,2895,121UC02D,121UC02D,13121,121,Fulton,60,FULTON,UC02D,UC02D
15,0.013046,1519,121SC21A,121SC21A,13121,121,Fulton,60,FULTON,SC21A,SC21A
16,0.093408,3152,121UC02C,121UC02C,13121,121,Fulton,60,FULTON,UC02C,UC02C
17,0.106493,1495,121SC08G,121SC08G,13121,121,Fulton,60,FULTON,SC08G,SC08G
18,0.006129,1489,121SC08A,121SC08A,13121,121,Fulton,60,FULTON,SC08A,SC08A
19,0.836197,1494,121SC08F,121SC08F,13121,121,Fulton,60,FULTON,SC08F,SC08F
20,1.204908,1571,121UC02A,121UC02A,13121,121,Fulton,60,FULTON,UC02A,UC02A
21,0.007562,1486,121SC07B,121SC07B,13121,121,Fulton,60,FULTON,SC07B,SC07B
22,1.43189,1484,121SC05E,121SC05E,13121,121,Fulton,60,FULTON,SC05E,SC05E
23,3.564793,1516,121SC20,121SC20,13121,121,Fulton,60,FULTON,SC20,SC20
24,2.613483,1477,121SC01B,121SC01B,13121,121,Fulton,60,FULTON,SC01B,SC01B
