VTD2016_x,ShapeSTLen,CountyFips,Jurisdicti,ElectionYe,Label,VTD,county_nam,county_fip,county_lat,county_lon,jurisdic_1,precinct,PRES16D,PRES16R,PRES16L,PRES16G,GOV18D,GOV18R,SOS18D,SOS18R,AG18D,AG18R,SEN18D,SEN18R,HDIST,SENDIST,CD,TOTPOP,NH_WHITE,NH_BLACK,NH_AMIN,NH_ASIAN,NH_NHPI,NH_OTHER,HISP,H_WHITE,H_BLACK,H_AMIN,H_ASIAN,H_NHPI,H_OTHER,VAP,HVAP,WVAP,BVAP,AMINVAP,ASIANVAP,NHPIVAP,OTHERVAP,2MOREVAP,NH_2MORE,H_2MORE
0057498003002,1881.84237604469,005,74980,2016,City of South Haven,P0057498003002,Allegan County,26005,42.595787,-86.634745,ALLEGAN,SOUTH HAVEN CITY; 1,4,1,0,0,8,2,9,1,8,2,8,2,080,026,06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1632200004011,2707.3922193457925,163,22000,2016,City of Detroit,P1632200004011,Wayne County,26163,42.284664,-83.261953,WAYNE,DETROIT CITY; 11,49,0,0,0,48,2,44,2,44,1,46,1,001,002,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1632200005454,3366.2682438641978,163,22000,2016,City of Detroit,P1632200005454,Wayne County,26163,42.284664,-83.261953,WAYNE,DETROIT CITY; 454,4,0,0,0,5,0,5,0,5,0,5,0,005,004,13,10,4,6,0,0,0,0,0,0,0,0,0,0,0,10,0,4,6,0,0,0,0,0,0,0
0636518000001,15685.809560257743,063,65180,2016,Pointe Aux Barques Township,P0636518000001,Huron County,26063,43.907616,-82.857045,HURON,POINTE AUX BARQUES TOWNSHIP; 1,5,14,1,1,6,12,7,11,6,12,8,10,084,025,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0
0715086000002,112221.96083589322,071,50860,2016,Mansfield Township,P0715086000002,Iron County,26071,46.170254,-88.540526,IRON,MANSFIELD TOWNSHIP; 2,6,5,0,0,5,3,5,3,5,2,5,1,110,038,01,14,13,0,0,0,0,0,1,1,0,0,0,0,0,14,1,13,0,0,0,0,0,0,0,0
1310946000001,86525.29849776858,131,09460,2016,Bohemia Township,P1310946000001,Ontonagon County,26131,47.216602,-89.500463,ONTONAGON,BOHEMIA TOWNSHIP; 1,10,11,1,1,14,8,12,11,13,8,12,11,110,038,01,32,29,0,0,0,0,0,3,2,0,0,0,0,1,29,3,26,0,0,0,0,0,0,0,0
1632200006450,3748.235160164647,163,22000,2016,City of Detroit,P1632200006450,Wayne County,26163,42.284664,-83.261953,WAYNE,DETROIT CITY; 450,10,0,0,0,8,0,8,0,8,0,8,0,005,004,13,36,0,35,0,0,0,0,0,0,0,0,0,0,0,25,0,0,24,0,0,0,0,1,1,0
1632200005441,2057.5821175210267,163,22000,2016,City of Detroit,P1632200005441,Wayne County,26163,42.284664,-83.261953,WAYNE,DETROIT CITY; 441,7,1,0,0,6,1,6,1,7,0,7,0,005,002,13,40,4,33,0,0,0,0,0,0,0,0,0,0,0,38,0,4,33,0,0,0,0,1,3,0
0033338000001,91168.65434894209,003,33380,2016,Grand Island Township,P0033338000001,Alger County,26003,47.080077,-86.56410799999999,ALGER,GRAND ISLAND TOWNSHIP; 1,15,9,2,0,14,8,14,7,14,7,14,8,109,038,01,47,40,0,4,0,0,0,0,0,0,0,0,0,0,34,0,30,0,1,0,0,0,3,3,0
1310946000002,83660.21616507693,131,09460,2016,Bohemia Township,P1310946000002,Ontonagon County,26131,47.216602,-89.500463,ONTONAGON,BOHEMIA TOWNSHIP; 2,17,13,0,0,15,15,16,15,16,14,17,14,110,038,01,50,48,0,0,0,0,0,0,0,0,0,0,0,0,49,0,47,0,0,0,0,0,2,2,0
