STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
32,003,003249,2,320030032492,Block Group 2,G5030,S,689920,0,+36.1870601,-115.3385974
32,003,003249,1,320030032491,Block Group 1,G5030,S,777076,0,+36.1894783,-115.3295958
32,003,003251,2,320030032512,Block Group 2,G5030,S,461201,0,+36.1961436,-115.3195086
32,003,003250,2,320030032502,Block Group 2,G5030,S,1494067,0,+36.1782320,-115.3333141
32,003,003248,2,320030032482,Block Group 2,G5030,S,202841,0,+36.2163285,-115.2765856
32,003,003252,1,320030032521,Block Group 1,G5030,S,761044,0,+36.1926088,-115.3092631
32,003,003102,3,320030031023,Block Group 3,G5030,S,388407,0,+36.1794131,-115.2389809
32,003,005356,1,320030053561,Block Group 1,G5030,S,3174320,0,+36.0040954,-115.0546243
32,003,005335,1,320030053351,Block Group 1,G5030,S,670629,0,+36.0217844,-114.9983147
32,003,003620,1,320030036201,Block Group 1,G5030,S,1103840,0,+36.2819107,-115.1830068
32,003,003631,1,320030036311,Block Group 1,G5030,S,654556,0,+36.2726247,-115.1842276
32,003,003631,2,320030036312,Block Group 2,G5030,S,660209,0,+36.2652197,-115.1844024
32,003,003620,2,320030036202,Block Group 2,G5030,S,1213536,0,+36.2848253,-115.1739499
32,003,002965,2,320030029652,Block Group 2,G5030,S,413405,0,+36.1054325,-115.2119249
32,003,002967,1,320030029671,Block Group 1,G5030,S,154579,0,+36.0948190,-115.2186667
32,003,002967,3,320030029673,Block Group 3,G5030,S,154412,0,+36.0984420,-115.2186452
32,003,005355,3,320030053553,Block Group 3,G5030,S,196117,0,+35.9906759,-115.0983153
32,003,003247,2,320030032472,Block Group 2,G5030,S,620984,0,+36.2111517,-115.2673239
32,003,003223,1,320030032231,Block Group 1,G5030,S,1391135,0,+36.1794425,-115.3018267
32,003,003430,2,320030034302,Block Group 2,G5030,S,359200,0,+36.1911248,-115.1756473
32,003,003619,1,320030036191,Block Group 1,G5030,S,1689950,0,+36.2898070,-115.1899001
32,003,003638,1,320030036381,Block Group 1,G5030,S,1389111,0,+36.2652186,-115.1440702
32,003,003613,2,320030036132,Block Group 2,G5030,S,1306474,0,+36.2247954,-115.1752853
32,003,001611,3,320030016113,Block Group 3,G5030,S,315588,0,+36.1554904,-115.0721715
32,003,004912,1,320030049121,Block Group 1,G5030,S,364086,0,+36.1482531,-115.0508227
32,003,004924,3,320030049243,Block Group 3,G5030,S,205660,0,+36.1510529,-115.0623873
32,003,004924,2,320030049242,Block Group 2,G5030,S,720086,0,+36.1449456,-115.0596878
32,003,005006,1,320030050061,Block Group 1,G5030,S,163160,0,+36.1315082,-115.0585208
32,003,001801,4,320030018014,Block Group 4,G5030,S,459710,0,+36.1325819,-115.0947895
32,003,001801,3,320030018013,Block Group 3,G5030,S,323666,0,+36.1326926,-115.0891252
32,003,001804,1,320030018041,Block Group 1,G5030,S,327420,0,+36.1407218,-115.1076399
32,003,001804,3,320030018043,Block Group 3,G5030,S,329852,0,+36.1425456,-115.1143192
32,003,005850,1,320030058501,Block Group 1,G5030,S,669538,0,+36.0963946,-115.3108622
32,003,005850,2,320030058502,Block Group 2,G5030,S,662916,0,+36.0888801,-115.3109844
32,003,005846,3,320030058463,Block Group 3,G5030,S,1692491,0,+36.0917254,-115.3216174
32,003,003220,6,320030032206,Block Group 6,G5030,S,1119363,0,+36.1830338,-115.2822856
32,003,003227,1,320030032271,Block Group 1,G5030,S,1357431,0,+36.1639059,-115.3308052
32,003,005354,1,320030053541,Block Group 1,G5030,S,777280,0,+36.0310618,-115.0231118
32,003,005341,1,320030053411,Block Group 1,G5030,S,473438,0,+36.0094278,-114.9846957
32,003,005354,2,320030053542,Block Group 2,G5030,S,1247970,0,+36.0260446,-115.0210968
32,003,005336,3,320030053363,Block Group 3,G5030,S,490150,0,+36.0204276,-114.9662127
32,003,002975,2,320030029752,Block Group 2,G5030,S,1318249,0,+36.0887456,-115.2519533
32,003,002958,1,320030029581,Block Group 1,G5030,S,330485,0,+36.0961487,-115.2407589
32,003,005824,1,320030058241,Block Group 1,G5030,S,451525,0,+36.1772637,-115.3517180
32,003,005844,2,320030058442,Block Group 2,G5030,S,1127267,0,+36.1390139,-115.3309262
32,003,005843,1,320030058431,Block Group 1,G5030,S,2560816,0,+36.1526608,-115.3272377
32,003,005843,2,320030058432,Block Group 2,G5030,S,494210,0,+36.1467100,-115.3209642
32,003,005845,1,320030058451,Block Group 1,G5030,S,338696,0,+36.1407721,-115.3177168
32,003,005845,3,320030058453,Block Group 3,G5030,S,505526,0,+36.1328431,-115.3190732
32,003,004601,3,320030046013,Block Group 3,G5030,S,399174,0,+36.2201826,-115.1094729
32,003,005015,1,320030050151,Block Group 1,G5030,S,3014553,0,+36.1162625,-115.0414607
32,003,005847,1,320030058471,Block Group 1,G5030,S,1320893,0,+36.1075789,-115.3106651
32,003,005844,3,320030058443,Block Group 3,G5030,S,1038399,0,+36.1290414,-115.3297714
32,003,004602,1,320030046021,Block Group 1,G5030,S,1999909,0,+36.2286243,-115.1031082
32,023,960408,3,320239604083,Block Group 3,G5030,S,17059462,0,+36.1779901,-116.0413048
32,023,960416,1,320239604161,Block Group 1,G5030,S,65315755,866,+36.2306844,-116.1149663
32,023,960408,1,320239604081,Block Group 1,G5030,S,4912796,229,+36.1725685,-116.0080627
32,023,960408,2,320239604082,Block Group 2,G5030,S,3171792,0,+36.1932529,-116.0237084
32,023,960405,3,320239604053,Block Group 3,G5030,S,60881140,372,+36.1315503,-116.0401133
32,023,960411,1,320239604111,Block Group 1,G5030,S,1068789422,77775,+36.4957445,-116.0156905
32,023,960413,1,320239604131,Block Group 1,G5030,S,7880979,3275,+36.2269166,-116.0198552
32,023,960410,3,320239604103,Block Group 3,G5030,S,33764051,9042,+36.1285520,-115.8811753
32,023,960413,2,320239604132,Block Group 2,G5030,S,13964817,998,+36.2453496,-116.0281638
32,023,960416,2,320239604162,Block Group 2,G5030,S,8529154,0,+36.2254901,-116.0807278
32,023,960415,2,320239604152,Block Group 2,G5030,S,5125327,0,+36.2489362,-116.0591340
32,023,960414,1,320239604141,Block Group 1,G5030,S,4562974,0,+36.2098200,-116.0367159
32,023,960414,2,320239604142,Block Group 2,G5030,S,4741129,5254,+36.2160155,-116.0051761
32,023,960410,2,320239604102,Block Group 2,G5030,S,7041729,0,+36.1311649,-115.9455382
32,023,960409,1,320239604091,Block Group 1,G5030,S,8328459,8543,+36.1742492,-115.9737442
32,023,960409,3,320239604093,Block Group 3,G5030,S,8347722,1589,+36.1523487,-115.9333154
32,023,960410,1,320239604101,Block Group 1,G5030,S,110280911,0,+36.0536131,-115.8970448
32,023,960407,1,320239604071,Block Group 1,G5030,S,6531483,5939,+36.1943568,-115.9853312
32,023,960412,1,320239604121,Block Group 1,G5030,S,56337637,306262,+36.1847566,-115.9061934
32,023,960411,2,320239604112,Block Group 2,G5030,S,195619370,1945,+36.3665291,-115.9927489
32,023,960412,2,320239604122,Block Group 2,G5030,S,14527117,0,+36.2785557,-116.0256511
32,023,960412,3,320239604123,Block Group 3,G5030,S,81997658,0,+36.2615451,-115.9485125
32,023,960415,1,320239604151,Block Group 1,G5030,S,7464163,1552,+36.2113649,-116.0631118
32,023,960416,3,320239604163,Block Group 3,G5030,S,5170583,0,+36.2000802,-116.0811472
32,023,960407,2,320239604072,Block Group 2,G5030,S,2757875,23415,+36.1983886,-116.0061715
32,023,960409,2,320239604092,Block Group 2,G5030,S,8194958,0,+36.1698403,-115.9388125
32,031,001703,2,320310017032,Block Group 2,G5030,S,671998,0,+39.5518224,-119.7843695
32,031,003111,1,320310031111,Block Group 1,G5030,S,10013673,0,+39.5365527,-119.6958755
32,031,001503,2,320310015032,Block Group 2,G5030,S,371203,0,+39.5470992,-119.8033350
32,031,003111,2,320310031112,Block Group 2,G5030,S,10418516,9695,+39.5251038,-119.7421053
32,031,001503,3,320310015033,Block Group 3,G5030,S,746918,0,+39.5407981,-119.8031776
32,031,000105,1,320310001051,Block Group 1,G5030,S,1612800,0,+39.5336338,-119.7938713
32,031,000106,2,320310001062,Block Group 2,G5030,S,354189,0,+39.5289426,-119.8092837
32,031,000106,1,320310001061,Block Group 1,G5030,S,166621,0,+39.5241081,-119.8094975
32,031,000702,3,320310007023,Block Group 3,G5030,S,399252,0,+39.5255063,-119.8008309
32,031,002302,3,320310023023,Block Group 3,G5030,S,13481726,301218,+39.5017647,-119.9833245
32,031,001010,4,320310010104,Block Group 4,G5030,S,917865,0,+39.4012076,-119.7596264
32,031,003001,1,320310030011,Block Group 1,G5030,S,281063,0,+39.5440501,-119.7505222
32,031,003001,3,320310030013,Block Group 3,G5030,S,279459,0,+39.5444845,-119.7457946
32,031,001903,3,320310019033,Block Group 3,G5030,S,257896,0,+39.5421858,-119.7559048
32,031,001904,1,320310019041,Block Group 1,G5030,S,196184,0,+39.5382524,-119.7563855
32,031,003517,4,320310035174,Block Group 4,G5030,S,1613029,0,+39.6295140,-119.6713937
32,031,003519,3,320310035193,Block Group 3,G5030,S,8819699,0,+39.6693936,-119.7354096
32,031,002303,2,320310023032,Block Group 2,G5030,S,15471782,0,+39.5600652,-119.9296551
32,031,003516,2,320310035162,Block Group 2,G5030,S,65764574,0,+39.6748135,-119.6470835
32,031,001012,3,320310010123,Block Group 3,G5030,S,2199187,0,+39.4708675,-119.7980453
32,031,002409,2,320310024092,Block Group 2,G5030,S,4097005,0,+39.5249790,-119.9085144
32,031,003520,1,320310035201,Block Group 1,G5030,S,5693784,68150,+39.6252419,-119.7092346
32,031,003517,3,320310035173,Block Group 3,G5030,S,625323,0,+39.6128922,-119.6739113
32,031,002414,2,320310024142,Block Group 2,G5030,S,276401,0,+39.5171624,-119.8910467
32,031,003517,2,320310035172,Block Group 2,G5030,S,418796,0,+39.6202078,-119.6740120
32,031,003516,1,320310035161,Block Group 1,G5030,S,35051718,855173,+39.6029654,-119.6413555
32,031,002413,1,320310024131,Block Group 1,G5030,S,574152,0,+39.5239184,-119.8857266
32,031,003310,2,320310033102,Block Group 2,G5030,S,25919115,1347245,+39.2078488,-119.9162235
32,031,003206,1,320310032061,Block Group 1,G5030,S,129839904,249604,+39.3021427,-119.8616604
32,031,003207,2,320310032072,Block Group 2,G5030,S,42900018,15450106,+39.2587798,-119.7706088
32,031,003310,1,320310033101,Block Group 1,G5030,S,13648991,0,+39.2717138,-119.9193797
32,031,002216,1,320310022161,Block Group 1,G5030,S,116605,0,+39.4540456,-119.7746950
32,031,002215,2,320310022152,Block Group 2,G5030,S,2177989,0,+39.4635824,-119.7639739
32,031,002216,3,320310022163,Block Group 3,G5030,S,1932414,0,+39.4470889,-119.7656981
32,031,002106,2,320310021062,Block Group 2,G5030,S,422021,0,+39.4813765,-119.7582334
32,031,001704,2,320310017042,Block Group 2,G5030,S,1125934,0,+39.5612148,-119.7875167
